Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Abronia umbellata - Pink Sand-verbena,Terrestrial,Vascular Plants,Abronia umbellata,Pink Sand-verbena,NA,Endangered,2004-05-01,2014-05-01 00:00:00,Pink Sand-verbena,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,NA,Added to list,9999-01-01
Accipiter cooperii - Cooper's Hawk,Terrestrial,Birds,Accipiter cooperii,Cooper's Hawk,NA,Not at Risk,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",NA,NA,9999-01-01
Accipiter gentilis atricapillus - Northern Goshawk atricapillus subspecies,Terrestrial,Birds,Accipiter gentilis atricapillus,Northern Goshawk atricapillus subspecies,NA,Not at Risk,1995-04-01,2005-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Accipiter gentilis laingi - Northern Goshawk laingi subspecies,Terrestrial,Birds,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,NA,Threatened,2013-05-03,2023-05-03 00:00:00,Northern Goshawk laingi subspecies,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Accipiter striatus - Sharp-shinned Hawk,Terrestrial,Birds,Accipiter striatus,Sharp-shinned Hawk,NA,Not at Risk,1997-04-01,2007-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Acipenser medirostris - Green Sturgeon,Aquatic,Fishes (freshwater),Acipenser medirostris,Green Sturgeon,NA,Special Concern,2013-11-01,2023-11-01 00:00:00,Green Sturgeon,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Pacific Ocean",NA,Added to list,9999-01-01
Acipenser transmontanus - White Sturgeon (Kootenay River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,9999-01-01,9999-01-01,White Sturgeon,Kootenay River population,No Status,2019-08-08,No schedule,2006-08-15,British Columbia,NA,Struck - WS reassignment,9999-01-01
Acipenser transmontanus - White Sturgeon (Lower Fraser River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,Lower Fraser River population,Threatened,2012-11-25,2022-11-25 00:00:00,White Sturgeon,Lower Fraser River population,No Status,2006-08-15,No schedule,9999-01-01,British Columbia,NA,Not to list,9999-01-01
Acipenser transmontanus - White Sturgeon (Middle Fraser River),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,9999-01-01,9999-01-01,White Sturgeon,Middle Fraser River,No Status,2006-08-15,No schedule,9999-01-01,British Columbia,NA,Not to list,9999-01-01
Acipenser transmontanus - White Sturgeon (NA),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,2012-11-25,2022-11-25 00:00:00,White Sturgeon,NA,No Status,9999-01-01,NA,9999-01-01,British Columbia,NA,NA,9999-01-01
